* Texas Instruments Data Flash File
* File created Mon Apr 18 19:42:16 2022
*
* Device Number 7695
* Firmware Version 0.36
* Build Number 39
* Order Number 0
*
* bqz Device Number 7692
* bqz Firmware Version 0.36
* bqz Build Number 39
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Voltage","Cell 1 Gain","0","—"
"Calibration","Voltage","Cell 2 Gain","0","—"
"Calibration","Voltage","Cell 3 Gain","0","—"
"Calibration","Voltage","Cell 4 Gain","0","—"
"Calibration","Voltage","Cell 5 Gain","0","—"
"Calibration","Voltage","Cell 6 Gain","0","—"
"Calibration","Voltage","Cell 7 Gain","0","—"
"Calibration","Voltage","Cell 8 Gain","0","—"
"Calibration","Voltage","Cell 9 Gain","0","—"
"Calibration","Voltage","Cell 10 Gain","0","—"
"Calibration","Voltage","Cell 11 Gain","0","—"
"Calibration","Voltage","Cell 12 Gain","0","—"
"Calibration","Voltage","Cell 13 Gain","0","—"
"Calibration","Voltage","Cell 14 Gain","0","—"
"Calibration","Voltage","Cell 15 Gain","0","—"
"Calibration","Voltage","Cell 16 Gain","0","—"
"Calibration","Voltage","Pack Gain","0","—"
"Calibration","Voltage","TOS Gain","0","—"
"Calibration","Voltage","LD Gain","0","—"
"Calibration","Voltage","ADC Gain","0","—"
"Calibration","Current","CC Gain","75","mΩ"
"Calibration","Current","Capacity Gain","223004430","mΩ"
"Calibration","Vcell Offset","Vcell Offset","0","mV"
"Calibration","V Divider Offset","Vdiv Offset","0","userV"
"Calibration","Current Offset","Coulomb Counter Offset Samples","64","—"
"Calibration","Current Offset","Board Offset","0","—"
"Calibration","Temperature","Internal Temp Offset","0","°C"
"Calibration","Temperature","CFETOFF Temp Offset","0","°C"
"Calibration","Temperature","DFETOFF Temp Offset","0","°C"
"Calibration","Temperature","ALERT Temp Offset","0","°C"
"Calibration","Temperature","TS1 Temp Offset","0","°C"
"Calibration","Temperature","TS2 Temp Offset","0","°C"
"Calibration","Temperature","TS3 Temp Offset","0","°C"
"Calibration","Temperature","HDQ Temp Offset","0","°C"
"Calibration","Temperature","DCHG Temp Offset","0","°C"
"Calibration","Temperature","DDSG Temp Offset","0","°C"
"Calibration","Internal Temp Model","Int Gain","25390","—"
"Calibration","Internal Temp Model","Int base offset","3032","—"
