,Class name, SubClass name, Parameter name, Display Units, Data Type, Data Length, Address Offset, Default Value, Minimum Value, Maximum Value, Display Format, Read Formula, Write Formula, Flags,  Help, Native Units
0,Calibration,Voltage,Cell 1 Gain,—,I,2,0x00009180,0,-32767,32767,ddd,x+0,x,,,—
1,Calibration,Voltage,Cell 2 Gain,—,I,2,0x00009182,0,-32767,32767,ddd,x+0,x,,,—
2,Calibration,Voltage,Cell 3 Gain,—,I,2,0x00009184,0,-32767,32767,ddd,x+0,x,,,—
3,Calibration,Voltage,Cell 4 Gain,—,I,2,0x00009186,0,-32767,32767,ddd,x+0,x,,,—
4,Calibration,Voltage,Cell 5 Gain,—,I,2,0x00009188,0,-32767,32767,ddd,x+0,x,,,—
5,Calibration,Voltage,Cell 6 Gain,—,I,2,0x0000918a,0,-32767,32767,ddd,x+0,x,,,—
6,Calibration,Voltage,Cell 7 Gain,—,I,2,0x0000918c,0,-32767,32767,ddd,x+0,x,,,—
7,Calibration,Voltage,Cell 8 Gain,—,I,2,0x0000918e,0,-32767,32767,ddd,x+0,x,,,—
8,Calibration,Voltage,Cell 9 Gain,—,I,2,0x00009190,0,-32767,32767,ddd,x+0,x,,,—
9,Calibration,Voltage,Cell 10 Gain,—,I,2,0x00009192,0,-32767,32767,ddd,x+0,x,,,—
10,Calibration,Voltage,Cell 11 Gain,—,I,2,0x00009194,0,-32767,32767,ddd,x+0,x,,,—
11,Calibration,Voltage,Cell 12 Gain,—,I,2,0x00009196,0,-32767,32767,ddd,x+0,x,,,—
12,Calibration,Voltage,Cell 13 Gain,—,I,2,0x00009198,0,-32767,32767,ddd,x+0,x,,,—
13,Calibration,Voltage,Cell 14 Gain,—,I,2,0x0000919a,0,-32767,32767,ddd,x+0,x,,,—
14,Calibration,Voltage,Cell 15 Gain,—,I,2,0x0000919c,0,-32767,32767,ddd,x+0,x,,,—
15,Calibration,Voltage,Cell 16 Gain,—,I,2,0x0000919e,0,-32767,32767,ddd,x+0,x,,,—
16,Calibration,Voltage,Pack Gain,—,U,2,0x000091a0,0,0,65535,ddd,x+0,x,,,—
17,Calibration,Voltage,TOS Gain,—,U,2,0x000091a2,0,0,65535,ddd,x+0,x,,,—
18,Calibration,Voltage,LD Gain,—,U,2,0x000091a4,0,0,65535,ddd,x+0,x,,,—
19,Calibration,Voltage,ADC Gain,—,I,2,0x000091a6,0,-32767,32767,ddd,x+0,x,,,—
20,Calibration,Current,CC Gain,mΩ,F,4,0x000091a8,75,1.00E-02,10.00E+02,f.ffffff,7.5684/x,7.5684/x,,,—
21,Calibration,Current,Capacity Gain,mΩ,F,4,0x000091ac,223004430,2.98262E+03,4.193046E+08,f.ffffff,2257363.227/x,2257363.227/x,,,—
22,Calibration,Vcell Offset,Vcell Offset,mV,I,2,0x000091b0,0,-32767,32767,ddd,x+0,x,,,mV
23,Calibration,V Divider Offset,Vdiv Offset,userV,I,2,0x000091b2,0,-32767,32767,ddd,x+0,x,,,userV
24,Calibration,Current Offset,Coulomb Counter Offset Samples,—,U,2,0x000091c6,64,0,65535,ddd,x+0,x,,,—
